#TIME 	I(ADC)	phi(deg)	Temperature(K)	vdemod(Vdac)
0.58696	36.45346	337.76821	0.70773	0.00322
1.04513	36.46056	337.75736	0.71069	0.00322
1.52781	36.46174	337.76780	0.71303	0.00322
1.87606	36.46119	337.76942	0.71552	0.00322
2.26751	36.45793	337.76990	0.71743	0.00322
2.65944	36.45601	337.75068	0.71939	0.00322
3.12774	36.44924	337.75977	0.72073	0.00322
3.58696	36.44531	337.76475	0.72323	0.00322
4.00000	36.45439	337.78304	0.75338	0.00322
4.42128	36.44194	337.77722	0.76725	0.00322
4.89792	36.44162	337.79006	0.77180	0.00322
5.43151	36.44920	337.79769	0.76968	0.00483
5.86058	36.44244	337.80047	0.76536	0.00322
6.26804	36.43918	337.79996	0.76142	0.00322
6.60800	36.44643	337.79236	0.75753	0.00322
7.12469	36.44157	337.77817	0.75341	0.00483
7.64249	36.44171	337.79309	0.74977	0.00322
7.99602	36.44505	337.77783	0.74630	0.00322
8.38713	36.45086	337.77821	0.74504	0.00322
8.70311	36.44965	337.77901	0.74283	0.00483
9.15494	36.44662	337.78438	0.74139	0.00322
9.68976	36.45057	337.78177	0.73825	0.00322
10.28013	36.45528	337.78638	0.73418	0.00322
10.69496	36.45422	337.76771	0.72764	0.00322
11.17824	36.45331	337.76831	0.72294	0.00322
11.59312	36.45190	337.75633	0.71874	0.00322
12.19149	36.46299	337.76979	0.71472	0.00322
12.87491	36.46564	337.74896	0.71062	0.00322
13.22985	36.45536	337.74353	0.70673	0.00483
13.68367	36.46235	337.75001	0.70461	0.00322
14.17918	36.46744	337.75703	0.70246	0.00322
14.80593	36.45953	337.76421	0.69979	0.00322
15.45901	36.45619	337.74901	0.69722	0.00322
16.00181	36.45932	337.75873	0.69481	0.00322
16.80857	36.46972	337.75455	0.69314	0.00322
17.41960	36.46301	337.73976	0.68843	0.00322
17.92258	36.47056	337.76003	0.68666	0.00322
18.55205	36.46040	337.75508	0.68308	0.00322
19.02188	36.46267	337.75120	0.68114	0.00322
19.46435	36.46890	337.74611	0.67875	0.00322
20.10274	36.46595	337.74778	0.67413	0.00322
20.58920	36.47243	337.74799	0.67017	0.00322
21.00619	36.47189	337.72689	0.66782	0.00322
21.47665	36.46335	337.73504	0.66502	0.00322
22.04096	36.46841	337.73058	0.66717	0.00322
22.53534	36.47370	337.73636	0.66888	0.00322
22.94277	36.47259	337.73050	0.66252	0.00322
23.45565	36.46851	337.72393	0.65824	0.00322
23.81978	36.47137	337.73130	0.65612	0.00322
24.27008	36.47528	337.73224	0.65417	0.00322
24.66996	36.47025	337.72307	0.65298	0.00322
25.27789	36.47690	337.72360	0.65581	0.00483
25.75221	36.47652	337.73955	0.65595	0.00322
26.17061	36.47252	337.71919	0.65573	0.00483
26.54602	36.47126	337.73558	0.65434	0.00322
27.09168	36.47188	337.72550	0.65309	0.00322
27.73454	36.46827	337.71764	0.65182	0.00322
28.27832	36.47971	337.72007	0.64993	0.00483
28.60858	36.47529	337.72592	0.64871	0.00322
29.14662	36.47872	337.71904	0.64587	0.00322
29.64610	36.47920	337.72251	0.64435	0.00322
30.13060	36.48247	337.72204	0.64238	0.00322
30.48724	36.47479	337.72639	0.64059	0.00322
30.88662	36.48232	337.70476	0.63922	0.00322
31.26773	36.47463	337.72510	0.63787	0.00322
31.71139	36.48956	337.71850	0.63657	0.00161
32.14798	36.48603	337.71564	0.63539	0.00161
32.79201	36.48012	337.71559	0.63366	0.00322
33.28097	36.47632	337.70800	0.63161	0.00322
33.64644	36.47831	337.70039	0.62981	0.00483
34.19804	36.48149	337.72240	0.62841	0.00322
34.60630	36.48245	337.70859	0.62687	0.00483
35.07965	36.47221	337.72809	0.62527	0.00322
35.53069	36.49720	337.71236	0.62420	0.00322
35.98464	36.49323	337.71020	0.62242	0.00322
36.36120	36.48930	337.70549	0.62141	0.00322
36.76678	36.49103	337.70660	0.61954	0.00322
37.22087	36.48369	337.71591	0.61815	0.00322
37.89593	36.48133	337.69602	0.61654	0.00483
38.45450	36.47679	337.69704	0.61409	0.00161
38.93146	36.49322	337.70110	0.61275	0.00483
39.58073	36.48150	337.67517	0.61063	0.00322
40.29436	36.48452	337.69491	0.60874	0.00322
40.97565	36.49779	337.68745	0.60728	0.00322
41.50219	36.48259	337.69169	0.60502	0.00322
42.05411	36.48351	337.70117	0.60393	0.00322
42.54460	36.48998	337.67689	0.60261	0.00322
43.36599	36.49278	337.68304	0.60091	0.00322
43.96184	36.48601	337.68440	0.59897	0.00322
44.44931	36.49223	337.68466	0.59762	0.00322
44.80718	36.48378	337.68712	0.59608	0.00322
45.41843	36.49616	337.68600	0.59512	0.00322
45.94947	36.49028	337.68874	0.59295	0.00322
46.55195	36.49370	337.67375	0.59190	0.00322
46.91694	36.49706	337.66861	0.59005	0.00483
47.33545	36.49955	337.68700	0.58926	0.00322
47.74099	36.49136	337.68173	0.58795	0.00322
48.21920	36.50614	337.65747	0.58653	0.00322
48.57571	36.49681	337.68208	0.58535	0.00322
48.98264	36.49847	337.68967	0.58446	0.00322
49.38190	36.49829	337.68362	0.58418	0.00322
49.90543	36.50804	337.65791	0.58290	0.00322
50.61831	36.50378	337.66168	0.58080	0.00322
51.25015	36.49978	337.67312	0.57941	0.00322
51.61667	36.49860	337.67474	0.57741	0.00322
52.25322	36.49636	337.66262	0.57633	0.00322
52.66798	36.51328	337.65714	0.57516	0.00322
53.22374	36.51136	337.66735	0.57408	0.00483
53.65087	36.49651	337.67359	0.57246	0.00322
54.18433	36.51020	337.67707	0.57205	0.00322
54.82124	36.50603	337.66511	0.56961	0.00322
55.21179	36.51639	337.65342	0.56847	0.00322
55.84291	36.51510	337.66700	0.56717	0.00322
56.32443	36.50308	337.63791	0.56534	0.00322
56.86695	36.51446	337.66224	0.56443	0.00322
57.35882	36.50746	337.65003	0.56303	0.00483
57.91889	36.51433	337.66078	0.56138	0.00483
58.35620	36.51958	337.65903	0.56005	0.00322
58.87086	36.50840	337.65893	0.55897	0.00322
59.35981	36.51380	337.64503	0.55787	0.00322
59.84055	36.50692	337.64968	0.55652	0.00322
60.37315	36.51630	337.66047	0.55483	0.00322
60.85743	36.51587	337.64578	0.55368	0.00322
61.12551	36.51881	337.64609	0.55303	0.00322
61.71692	36.52463	337.65320	0.55239	0.00322
62.04327	36.53295	337.64258	0.55041	0.00322
62.45828	36.52594	337.65444	0.54977	0.00322
63.03549	36.52368	337.66306	0.54874	0.00322
63.42926	36.51752	337.64190	0.54689	0.00483
63.81167	36.52876	337.65330	0.54629	0.00322
64.36688	36.53270	337.64064	0.54538	0.00322
64.79254	36.52562	337.64989	0.54375	0.00322
65.53790	36.52964	337.63649	0.54302	0.00322
65.94808	36.54467	337.63967	0.54135	0.00322
66.53787	36.54700	337.64611	0.54026	0.00322
66.94381	36.54833	337.63434	0.53865	0.00483
67.34934	36.56243	337.63337	0.53775	0.00322
67.76885	36.60403	337.64657	0.53647	0.00322
68.54044	37.88317	337.57548	0.53547	0.00322
68.93396	40.23178	337.48769	0.53396	0.00322
69.43073	50.53302	336.82841	0.53363	0.00322
70.01509	70.10783	335.94041	0.53268	0.00483
70.44140	94.54229	334.71757	0.53150	0.00322
71.13245	143.47404	332.44782	0.53102	0.00322
71.56869	177.52040	330.73759	0.53003	0.00322
72.07551	207.07070	329.72492	0.52917	0.00322
72.55209	236.57099	328.63390	0.52833	0.00483
73.03660	271.68252	327.30107	0.52764	0.00483
73.53193	313.24148	325.68154	0.52687	0.00322
74.03687	347.15599	324.42111	0.52591	0.00322
74.51945	370.20915	323.66264	0.52508	0.00322
75.17949	401.04117	322.59113	0.52449	0.00322
75.78070	428.58413	321.59648	0.52347	0.00483
76.25236	450.95091	320.75099	0.52267	0.00322
76.68464	473.99171	319.86349	0.52167	0.00322
77.12949	500.62935	318.83470	0.52091	0.00483
77.79847	540.79449	317.21302	0.52011	0.00483
78.27225	572.30147	315.90863	0.51898	0.00322
78.77331	609.46412	314.30991	0.51812	0.00483
79.25602	650.29515	312.51360	0.51746	0.00322
79.79009	704.21017	310.08997	0.51675	0.00322
80.21690	747.29923	308.16256	0.51570	0.00483
80.68658	793.37479	306.08686	0.51512	0.00483
81.29344	845.41062	303.81693	0.51413	0.00322
81.77668	884.74430	301.94924	0.51315	0.00322
82.22284	907.99974	300.89453	0.51261	0.00483
82.75534	918.19494	300.38526	0.51219	0.00483
83.20777	873.80950	302.51418	0.51444	0.00483
83.78082	822.39757	304.82491	0.51659	0.00483
84.16601	790.21549	306.19954	0.51764	0.00322
84.59898	794.52097	305.99623	0.51706	0.00483
85.00167	773.19886	306.94398	0.51638	0.00322
85.34543	747.66488	308.13072	0.51762	0.00322
85.63625	724.05807	309.16942	0.51845	0.00322
86.08560	685.69272	310.90559	0.51892	0.00322
86.63481	642.26364	312.84384	0.51970	0.00483
87.13886	608.52507	314.32259	0.52015	0.00483
87.61301	582.65023	315.45129	0.52090	0.00322
88.14334	551.49416	316.76035	0.52155	0.00322
88.60021	529.17138	317.66241	0.52235	0.00322
89.03381	508.72371	318.48213	0.52280	0.00322
89.49422	489.04840	319.26920	0.52329	0.00483
89.97926	467.08686	320.12133	0.52399	0.00322
90.50183	445.90240	320.92754	0.52481	0.00322
91.09450	427.94891	321.61064	0.52513	0.00483
91.59839	413.21588	322.14221	0.52560	0.00322
91.99983	402.11365	322.54016	0.52594	0.00322
92.30675	393.99292	322.82739	0.52606	0.00322
92.91816	379.18581	323.34909	0.52644	0.00483
93.34396	368.45613	323.70729	0.52687	0.00483
93.82424	357.32936	324.08444	0.52705	0.00322
94.30036	345.93655	324.45971	0.52752	0.00322
94.82399	332.59211	324.89284	0.52811	0.00322
95.28978	316.82330	325.52555	0.52841	0.00322
95.68339	302.30755	326.09483	0.52870	0.00322
96.04987	287.65642	326.68347	0.52908	0.00322
96.59855	267.26438	327.48723	0.52918	0.00483
96.97557	253.18345	328.03003	0.52976	0.00322
97.50555	233.76365	328.73822	0.52998	0.00483
98.10082	214.59874	329.44615	0.53080	0.00322
98.67711	198.18698	330.05333	0.53087	0.00483
